"","date","price"
"229",2024-05-20,3.451
"230",2024-05-27,3.434
"231",2024-06-03,3.376
"232",2024-06-10,3.297
"233",2024-06-17,3.31
"234",2024-06-24,3.322
"235",2024-07-01,3.371
"236",2024-07-08,3.384
"237",2024-07-15,3.388
"238",2024-07-22,3.364
"239",2024-07-29,3.381
"240",2024-08-05,3.357
"241",2024-08-12,3.326
"242",2024-08-19,3.286
"243",2024-08-26,3.212
"244",2024-09-02,3.191
"245",2024-09-09,3.12
"246",2024-09-16,3.057
